timestamp,source,category,business_service,description,severity,status,recommended_action
2026-05-31 00:00:00,SRV-AIX-01,Server Health,Core Banking Ops,"AIX server SRV-AIX-01 is Critical: CPU 97%, memory 39%, disk 38%, latency 181ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 00:00:00,CRAC-01,HVAC,Facilities,Airflow Alert detected on CRAC-01 at Data Hall A.,Medium,Resolved,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 00:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 22 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 00:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Warning: CPU 47%, memory 45%, disk 52%, latency 49ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 00:00:00,Tax_Record_Sync,Production Control,Finance,BPE job Tax_Record_Sync Delayed; duration 27 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 00:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 52%, memory 88%, disk 83%, latency 61ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 00:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Critical: CPU 96%, memory 36%, disk 35%, latency 107ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 00:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Critical: CPU 92%, memory 87%, disk 44%, latency 98ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 00:00:00,SRV-LNX-01,Server Health,Monitoring,"Linux server SRV-LNX-01 is Warning: CPU 63%, memory 56%, disk 58%, latency 118ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 01:00:00,Claims_Processing,Production Control,Insurance,TPE job Claims_Processing Success; duration 15 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
