timestamp,server_name,os,business_service,site,cpu_usage,memory_usage,disk_usage,latency_ms,uptime_days,patch_age_days,status
2026-05-31 00:00:00,SRV-AIX-01,AIX,Core Banking Ops,Atlanta DC-1,97,39,38,181,409,115,Critical
2026-05-31 00:00:00,SRV-AIX-02,AIX,Mainframe Integration,Atlanta DC-1,92,87,44,98,317,26,Critical
2026-05-31 00:00:00,SRV-LNX-01,Linux,Monitoring,Atlanta DC-1,63,56,58,118,33,98,Warning
2026-05-31 00:00:00,SRV-LNX-02,Linux,API Gateway,Atlanta DC-1,69,49,39,112,202,14,Healthy
2026-05-31 00:00:00,SRV-LNX-03,Linux,Log Aggregation,Atlanta DC-2,23,44,68,20,403,59,Healthy
2026-05-31 00:00:00,SRV-WIN-01,Windows,Active Directory,Atlanta DC-1,52,88,83,61,325,25,Warning
2026-05-31 00:00:00,SRV-WIN-02,Windows,File Services,Atlanta DC-2,96,36,35,107,224,36,Critical
2026-05-31 00:00:00,SRV-WIN-03,Windows,Patch Management,Atlanta DC-2,47,45,52,49,389,120,Warning
2026-05-31 01:00:00,SRV-AIX-01,AIX,Core Banking Ops,Atlanta DC-1,61,60,64,35,266,49,Healthy
2026-05-31 01:00:00,SRV-AIX-02,AIX,Mainframe Integration,Atlanta DC-1,35,62,44,113,58,30,Healthy
2026-05-31 01:00:00,SRV-LNX-01,Linux,Monitoring,Atlanta DC-1,91,47,43,167,397,41,Critical
2026-05-31 01:00:00,SRV-LNX-02,Linux,API Gateway,Atlanta DC-1,31,47,71,48,101,32,Healthy
2026-05-31 01:00:00,SRV-LNX-03,Linux,Log Aggregation,Atlanta DC-2,65,38,57,66,215,29,Healthy
2026-05-31 01:00:00,SRV-WIN-01,Windows,Active Directory,Atlanta DC-1,26,27,85,95,111,102,Warning
2026-05-31 01:00:00,SRV-WIN-02,Windows,File Services,Atlanta DC-2,61,26,68,82,158,71,Healthy
2026-05-31 01:00:00,SRV-WIN-03,Windows,Patch Management,Atlanta DC-2,73,65,73,111,166,99,Warning
2026-05-31 02:00:00,SRV-AIX-01,AIX,Core Banking Ops,Atlanta DC-1,59,40,95,79,420,23,Critical
2026-05-31 02:00:00,SRV-AIX-02,AIX,Mainframe Integration,Atlanta DC-1,50,77,83,92,131,20,Healthy
2026-05-31 02:00:00,SRV-LNX-01,Linux,Monitoring,Atlanta DC-1,41,56,63,91,195,63,Healthy
2026-05-31 02:00:00,SRV-LNX-02,Linux,API Gateway,Atlanta DC-1,91,78,81,102,153,113,Critical
2026-05-31 02:00:00,SRV-LNX-03,Linux,Log Aggregation,Atlanta DC-2,54,27,99,113,94,17,Critical
2026-05-31 02:00:00,SRV-WIN-01,Windows,Active Directory,Atlanta DC-1,60,57,63,69,138,119,Warning
2026-05-31 02:00:00,SRV-WIN-02,Windows,File Services,Atlanta DC-2,52,66,49,100,362,48,Healthy
2026-05-31 02:00:00,SRV-WIN-03,Windows,Patch Management,Atlanta DC-2,46,50,91,90,313,30,Warning
2026-05-31 03:00:00,SRV-AIX-01,AIX,Core Banking Ops,Atlanta DC-1,55,26,33,19,199,10,Healthy
2026-05-31 03:00:00,SRV-AIX-02,AIX,Mainframe Integration,Atlanta DC-1,50,64,64,88,325,61,Healthy
2026-05-31 03:00:00,SRV-LNX-01,Linux,Monitoring,Atlanta DC-1,33,73,36,70,211,55,Healthy
